$submission->id, $submission->user->username, $submission->created_at, $start_judging_time,  $judge_run_time, $seconds_to_submit, $total_pending_time
12387, thi_cuoiky-O11-23520873-8UZT4, 2024-01-11 00:57:04, 2024-01-11 00:57:04, 10773, 724, 0
12388, thi_cuoiky-O11-23521133-LS44A, 2024-01-11 00:57:05, 2024-01-11 00:57:05, 11271, 725, 0
12389, thi_cuoiky-O11-23520666-LPBLB, 2024-01-11 00:57:06, 2024-01-11 00:57:06, 7877, 726, 0
12390, thi_cuoiky-O110-23520444-TXESG, 2024-01-11 00:57:11, 2024-01-11 00:57:11, 21583, 731, 0
12391, thi_cuoiky-O11-22521611-PQ5QD, 2024-01-11 00:57:11, 2024-01-11 00:57:11, 8481, 731, 0
12392, thi_cuoiky-O11-23521054-YL5ZI, 2024-01-11 00:57:13, 2024-01-11 00:57:13, 8153, 733, 0
12393, thi_cuoiky-O110-23520305-S2JUI, 2024-01-11 00:57:15, 2024-01-11 00:57:15, 7792, 735, 0
12394, thi_cuoiky-O110-23520349-0UFHA, 2024-01-11 00:57:30, 2024-01-11 00:57:31, 7568, 750, 1
12395, thi_cuoiky-O112-23521127-G4CY4, 2024-01-11 00:57:32, 2024-01-11 00:57:32, 7250, 752, 0
12396, thi_cuoiky-O11-19520631-TK9BE, 2024-01-11 00:57:34, 2024-01-11 00:57:34, 6968, 754, 0
12397, thi_cuoiky-O11-23520899-ONHYB, 2024-01-11 00:57:34, 2024-01-11 00:57:35, 9497, 754, 1
12398, thi_cuoiky-O11-23520199-51GDB, 2024-01-11 00:57:35, 2024-01-11 00:57:35, 20030, 755, 0
12399, thi_cuoiky-O11-23520289-W6OLC, 2024-01-11 00:57:41, 2024-01-11 00:57:41, 1412, 761, 0
12400, thi_cuoiky-O110-23520444-TXESG, 2024-01-11 00:57:45, 2024-01-11 00:57:45, 7304, 765, 0
12401, thi_cuoiky-O112-23520627-7HA0X, 2024-01-11 00:57:47, 2024-01-11 00:57:47, 7018, 767, 0
12402, thi_cuoiky-O11-23520530-FPVPS, 2024-01-11 00:57:51, 2024-01-11 00:57:52, 20161, 771, 1
12403, thi_cuoiky-O11-23520368-5MFQV, 2024-01-11 00:57:52, 2024-01-11 00:57:52, 20116, 772, 0
12404, thi_cuoiky-O11-22520419-YCAJN, 2024-01-11 00:57:58, 2024-01-11 00:57:58, 7161, 778, 0
12405, thi_cuoiky-O112-23520772-62GF3, 2024-01-11 00:58:01, 2024-01-11 00:58:02, 6998, 781, 1
12406, thi_cuoiky-O110-23521262-BYG58, 2024-01-11 00:58:03, 2024-01-11 00:58:03, 16034, 783, 0
12407, thi_cuoiky-O110-23521483-XN81F, 2024-01-11 00:58:03, 2024-01-11 00:58:03, 7085, 783, 0
